净值日期,单位净值,日增长率,累计净值
2015-02-10,1.0,0.0,1.0
2015-02-13,1.0019,0.0,1.0019
2015-02-17,1.0012,0.0,1.0012
2015-02-27,1.0001,0.0,1.0001
2015-03-02,1.0004,0.03,1.0004
2015-03-06,1.0003,0.0,1.0003
2015-03-13,1.0064,0.0,1.0064
2015-03-20,1.0213,0.0,1.0213
2015-03-27,1.0315,0.0,1.0315
2015-03-30,1.0315,0.0,1.0315
2015-04-03,1.0779,0.0,1.0779
2015-04-10,1.1357,0.0,1.1357
2015-04-17,1.1343,0.0,1.1343
2015-04-24,1.1848,0.0,1.1848
2015-04-30,1.1756,0.0,1.1756
2015-05-07,1.131,0.0,1.131
2015-05-08,1.1693,3.3864,1.1693
2015-05-11,1.2143,3.8485,1.2143
2015-05-12,1.2408,2.1823,1.2408
2015-05-13,1.2474,0.5319,1.2474
2015-05-14,1.2514,0.3207,1.2514
2015-05-15,1.2504,-0.0799,1.2504
2015-05-18,1.2914,3.279,1.2914
2015-05-19,1.3258,2.6638,1.3258
2015-05-20,1.3566,2.3231,1.3566
2015-05-21,1.4136,4.2017,1.4136
2015-05-22,1.4117,-0.1344,1.4117
2015-05-25,1.4164,0.3329,1.4164
2015-05-26,1.4563,2.817,1.4563
2015-05-27,1.4307,-1.7579,1.4307
2015-05-28,1.3623,-4.7809,1.3623
2015-05-29,1.3807,1.3507,1.3807
2015-06-01,1.456,5.4538,1.456
2015-06-02,1.5262,4.8214,1.5262
2015-06-03,1.5404,0.9304,1.5404
2015-06-04,1.5323,-0.5258,1.5323
2015-06-05,1.5372,0.3198,1.5372
2015-06-08,1.4984,-2.5241,1.4984
2015-06-09,1.472,-1.7619,1.472
2015-06-10,1.5055,2.2758,1.5055
2015-06-11,1.5339,1.8864,1.5339
2015-06-12,1.5615,1.7993,1.5615
2015-06-15,1.5279,-2.1518,1.5279
2015-06-16,1.4664,-4.0251,1.4664
2015-06-17,1.4834,1.1593,1.4834
2015-06-18,1.4185,-4.3751,1.4185
2015-06-19,1.3331,-6.0204,1.3331
2015-06-23,1.3404,0.5476,1.3404
2015-06-24,1.3526,0.9102,1.3526
2015-06-25,1.2906,-4.5838,1.2906
2015-06-26,1.1801,-8.5619,1.1801
2015-06-29,1.0906,-7.5841,1.0906
2015-06-30,1.1503,5.4741,1.1503
2015-07-01,1.1024,-4.1641,1.1024
2015-07-02,1.0425,-5.4336,1.0425
2015-07-03,0.9926,-4.7866,0.9926
2015-07-06,0.9566,-3.6268,0.9566
2015-07-07,0.8948,-6.4604,0.8948
2015-07-08,0.859,-4.0009,0.859
2015-07-09,0.901,4.8894,0.901
2015-07-10,0.9541,5.8935,0.9541
2015-07-13,1.0165,6.5402,1.0165
2015-07-14,1.052,3.4924,1.052
2015-07-15,0.9915,-5.751,0.9915
2015-07-16,0.9978,0.6354,0.9978
2015-07-17,1.0495,5.1814,1.0495
2015-07-20,1.0719,2.1343,1.0719
2015-07-21,1.0968,2.323,1.0968
2015-07-22,1.1126,1.4406,1.1126
2015-07-23,1.1325,1.7886,1.1325
2015-07-24,1.1216,-0.9625,1.1216
2015-07-27,1.0446,-6.8652,1.0446
2015-07-28,1.0045,-3.8388,1.0045
2015-07-29,1.0288,2.4191,1.0288
2015-07-30,0.9947,-3.3145,0.9947
2015-07-31,0.9926,-0.2111,0.9926
2015-08-03,0.973,-1.9746,0.973
2015-08-04,1.0161,4.4296,1.0161
2015-08-05,1.0029,-1.2991,1.0029
2015-08-06,0.9943,-0.8575,0.9943
2015-08-07,1.0244,3.0273,1.0244
2015-08-10,1.0772,5.1542,1.0772
2015-08-11,1.0708,-0.5941,1.0708
2015-08-12,1.0464,-2.2787,1.0464
2015-08-13,1.0667,1.94,1.0667
2015-08-14,1.071,0.4031,1.071
2015-08-17,1.0887,1.6527,1.0887
2015-08-18,1.009,-7.3207,1.009
2015-08-19,1.0308,2.1606,1.0308
2015-08-20,0.9943,-3.5409,0.9943
2015-08-21,0.9414,-5.3203,0.9414
2015-08-24,0.8584,-8.8167,0.8584
2015-08-25,0.7993,-6.8849,0.7993
2015-08-26,0.7906,-1.0885,0.7906
2015-08-27,0.8294,4.9077,0.8294
2015-08-28,0.8785,5.9199,0.8785
2015-08-31,0.8466,-3.6312,0.8466
2015-09-01,0.7986,-5.6697,0.7986
2015-09-02,0.7861,-1.5652,0.7861
2015-09-07,0.807,2.6587,0.807
2015-09-08,0.8543,5.8612,0.8543
2015-09-09,0.8783,2.8093,0.8783
