净值日期,单位净值,日增长率,累计净值
2009-07-10,1.0,0.0,1.0
2009-07-17,1.004,0.4,1.004
2009-07-24,1.017,1.2948,1.017
2009-07-28,1.028,1.0816,1.028
2009-07-29,1.008,-1.9455,1.008
2009-07-30,1.017,0.8929,1.017
2009-07-31,1.033,1.5733,1.033
2009-08-03,1.047,1.3553,1.047
2009-08-04,1.049,0.191,1.049
2009-08-05,1.042,-0.6673,1.042
2009-08-06,1.022,-1.9194,1.022
2009-08-07,0.996,-2.544,0.996
2009-08-10,0.996,0.0,0.996
2009-08-11,1.0,0.4016,1.0
2009-08-12,0.97,-3.0,0.97
2009-08-13,0.975,0.5155,0.975
2009-08-14,0.96,-1.5385,0.96
2009-08-17,0.917,-4.4792,0.917
2009-08-18,0.927,1.0905,0.927
2009-08-19,0.895,-3.452,0.895
2009-08-20,0.922,3.0168,0.922
2009-08-21,0.934,1.3015,0.934
2009-08-24,0.939,0.5353,0.939
2009-08-25,0.915,-2.5559,0.915
2009-08-26,0.927,1.3115,0.927
2009-08-27,0.927,0.0,0.927
2009-08-28,0.901,-2.8047,0.901
2009-08-31,0.852,-5.4384,0.852
2009-09-01,0.855,0.3521,0.855
2009-09-02,0.866,1.2865,0.866
2009-09-03,0.9,3.9261,0.9
2009-09-04,0.902,0.2222,0.902
2009-09-07,0.908,0.6652,0.908
2009-09-08,0.921,1.4317,0.921
2009-09-09,0.927,0.6515,0.927
2009-09-10,0.921,-0.6472,0.921
2009-09-11,0.934,1.4115,0.934
2009-09-14,0.943,0.9636,0.943
2009-09-15,0.945,0.2121,0.945
2009-09-16,0.933,-1.2698,0.933
2009-09-17,0.945,1.2862,0.945
2009-09-18,0.922,-2.4339,0.922
2009-09-21,0.922,0.0,0.922
2009-09-22,0.905,-1.8438,0.905
2009-09-23,0.892,-1.4365,0.892
2009-09-24,0.897,0.5605,0.897
2009-09-25,0.893,-0.4459,0.893
2009-09-28,0.875,-2.0157,0.875
2009-09-29,0.875,0.0,0.875
2009-09-30,0.881,0.6857,0.881
2009-10-09,0.911,3.4052,0.911
2009-10-12,0.908,-0.3293,0.908
2009-10-13,0.917,0.9912,0.917
2009-10-14,0.922,0.5453,0.922
2009-10-15,0.925,0.3254,0.925
2009-10-16,0.925,0.0,0.925
2009-10-19,0.941,1.7297,0.941
2009-10-20,0.949,0.8502,0.949
2009-10-21,0.948,-0.1054,0.948
2009-10-22,0.943,-0.5274,0.943
2009-10-23,0.956,1.3786,0.956
2009-10-26,0.956,0.0,0.956
2009-10-27,0.934,-2.3013,0.934
2009-10-28,0.936,0.2141,0.936
2009-10-29,0.917,-2.0299,0.917
2009-10-30,0.924,0.7634,0.924
2009-11-02,0.95,2.8139,0.95
2009-11-03,0.96,1.0526,0.96
2009-11-04,0.965,0.5208,0.965
2009-11-05,0.968,0.3109,0.968
2009-11-06,0.974,0.6198,0.974
2009-11-09,0.977,0.308,0.977
2009-11-10,0.978,0.1024,0.978
2009-11-11,0.975,-0.3067,0.975
2009-11-12,0.976,0.1026,0.976
2009-11-13,0.98,0.4098,0.98
2009-11-16,1.005,2.551,1.005
2009-11-17,1.007,0.199,1.007
2009-11-18,1.007,0.0,1.007
2009-11-19,1.011,0.3972,1.011
2009-11-20,1.008,-0.2967,1.008
