净值日期,单位净值,累计净值
2026-06-16,1.4251,1.4251
2026-06-17,1.4695,1.4695
2026-06-18,1.5344,1.5344
2026-06-22,1.5635,1.5635
2026-06-23,1.4987,1.4987
2026-06-24,1.5463,1.5463
2026-06-25,1.6171,1.6171
2026-06-29,1.5781,1.5781
2026-07-01,1.5651,1.5651
2026-07-02,1.4435,1.4435
2026-07-03,1.4426,1.4426
2026-07-06,1.4237,1.4237
2026-07-07,1.4222,1.4222
2026-07-08,1.4216,1.4216
2026-07-09,1.5338,1.5338
2026-07-10,1.4389,1.4389
2026-07-13,1.3823,1.3823
2026-07-14,1.4475,1.4475
2026-07-15,1.4098,1.4098
2026-07-16,1.3605,1.3605
2026-07-17,1.2496,1.2496
2026-07-20,1.2331,1.2331
2026-07-21,1.3622,1.3622
