净值日期,单位净值,日增长率,累计净值
2015-06-02,1.0,0.0,1.0
2015-06-05,1.001,0.0,1.001
2015-06-12,1.034,0.0,1.034
2015-06-19,0.869,0.0,0.869
2015-06-26,0.785,0.0,0.785
2015-06-30,0.763,0.0,0.763
2015-07-03,0.643,0.0,0.643
2015-07-10,0.586,0.0,0.586
2015-07-17,0.658,0.0,0.658
2015-07-24,0.719,0.0,0.719
2015-07-30,0.644,0.0,0.644
2015-07-31,0.633,-1.7081,0.633
2015-08-03,0.603,-4.7393,0.603
2015-08-04,0.633,4.9751,0.633
2015-08-05,0.629,-0.6319,0.629
2015-08-06,0.623,-0.9539,0.623
2015-08-07,0.644,3.3708,0.644
2015-08-10,0.673,4.5031,0.673
2015-08-11,0.671,-0.2972,0.671
2015-08-12,0.657,-2.0864,0.657
2015-08-13,0.663,0.9132,0.663
2015-08-14,0.669,0.905,0.669
2015-08-17,0.669,0.0,0.669
2015-08-18,0.619,-7.4738,0.619
2015-08-19,0.633,2.2617,0.633
2015-08-20,0.615,-2.8436,0.615
2015-08-21,0.577,-6.1789,0.577
2015-08-24,0.53,-8.1456,0.53
2015-08-25,0.488,-7.9245,0.488
2015-08-26,0.47,-3.6885,0.47
2015-08-27,0.489,4.0426,0.489
2015-08-28,0.52,6.3395,0.52
2015-08-31,0.498,-4.2308,0.498
2015-09-01,0.468,-6.0241,0.468
2015-09-02,0.457,-2.3504,0.457
2015-09-07,0.462,1.0941,0.462
2015-09-08,0.486,5.1948,0.486
2015-09-09,0.503,3.4979,0.503
2015-09-10,0.499,-0.7952,0.499
2015-09-11,0.501,0.4008,0.501
2015-09-14,0.464,-7.3852,0.464
2015-09-15,0.443,-4.5259,0.443
2015-09-16,0.475,7.2235,0.475
2015-09-17,0.471,-0.8421,0.471
2015-09-18,0.481,2.1231,0.481
2015-09-21,0.507,5.4054,0.507
2015-09-22,0.51,0.5917,0.51
2015-09-23,0.507,-0.5882,0.507
2015-09-24,0.516,1.7751,0.516
2015-09-25,0.496,-3.876,0.496
2015-09-28,0.517,4.2339,0.517
2015-09-29,0.513,-0.7737,0.513
2015-09-30,0.509,-0.7797,0.509
2015-10-08,0.532,4.5187,0.532
2015-10-09,0.535,0.5639,0.535
2015-10-12,0.556,3.9252,0.556
2015-10-13,0.561,0.8993,0.561
2015-10-14,0.554,-1.2478,0.554
2015-10-15,0.568,2.5271,0.568
2015-10-16,0.572,0.7042,0.572
2015-10-19,0.566,-1.049,0.566
2015-10-20,0.575,1.5901,0.575
