净值日期,单位净值,日增长率,累计净值
2023-04-06,1.0,0.0,1.0
2023-04-07,1.0,0.0,1.0
2023-04-14,0.9968,0.0,0.9968
2023-04-21,0.9978,0.0,0.9978
2023-04-24,1.0002,0.24,1.0002
2023-04-25,0.9843,-1.59,0.9843
2023-04-26,0.9861,0.18,0.9861
2023-04-27,0.9948,0.88,0.9948
2023-04-28,0.9989,0.41,0.9989
2023-05-04,0.9855,-1.34,0.9855
2023-05-05,0.9938,0.84,0.9938
2023-05-08,0.9946,0.08,0.9946
2023-05-09,0.9916,-0.3,0.9916
2023-05-10,0.9963,0.47,0.9963
2023-05-11,0.9922,-0.41,0.9922
2023-05-12,0.9961,0.39,0.9961
2023-05-15,1.0012,0.51,1.0012
2023-05-16,0.9933,-0.79,0.9933
2023-05-17,1.0075,1.43,1.0075
2023-05-18,1.0195,1.19,1.0195
2023-05-19,1.0234,0.38,1.0234
2023-05-22,1.0209,-0.24,1.0209
2023-05-23,1.0127,-0.8,1.0127
2023-05-24,1.0091,-0.36,1.0091
2023-05-25,1.017,0.78,1.017
2023-05-26,1.0325,1.52,1.0325
2023-05-29,1.0325,0.0,1.0325
2023-05-30,1.0333,0.08,1.0333
2023-05-31,1.0277,-0.54,1.0277
2023-06-01,1.0389,1.09,1.0389
2023-06-02,1.0522,1.28,1.0522
2023-06-05,1.0498,-0.23,1.0498
2023-06-06,1.0542,0.42,1.0542
2023-06-07,1.052,-0.21,1.052
2023-06-08,1.0587,0.64,1.0587
2023-06-09,1.0577,-0.09,1.0577
2023-06-12,1.0671,0.89,1.0671
2023-06-13,1.0763,0.86,1.0763
2023-06-14,1.0782,0.18,1.0782
2023-06-15,1.0888,0.98,1.0888
2023-06-16,1.0835,-0.49,1.0835
2023-06-19,1.0835,0.0,1.0835
2023-06-20,1.083,-0.05,1.083
2023-06-21,1.0799,-0.29,1.0799
2023-06-26,1.0755,-0.41,1.0755
2023-06-27,1.087,1.07,1.087
