净值日期,单位净值,日增长率,累计净值
2016-11-11,1.0,0.0,1.0
2016-11-18,0.997,0.0,0.997
2016-11-25,1.005,0.0,1.005
2016-12-02,0.994,0.0,0.994
2016-12-09,0.994,0.0,0.994
2016-12-12,0.973,-2.1127,0.973
2016-12-13,0.979,0.6166,0.979
2016-12-14,0.974,-0.5107,0.974
2016-12-15,0.977,0.308,0.977
2016-12-16,0.981,0.4094,0.981
2016-12-19,0.984,0.3058,0.984
2016-12-20,0.981,-0.3049,0.981
2016-12-21,0.987,0.6116,0.987
2016-12-22,0.986,-0.1013,0.986
2016-12-23,0.977,-0.9128,0.977
2016-12-26,0.979,0.2047,0.979
2016-12-27,0.98,0.1021,0.98
2016-12-28,0.978,-0.2041,0.978
2016-12-29,0.975,-0.3067,0.975
2016-12-30,0.977,0.2051,0.977
2016-12-31,0.977,0.0,0.977
2017-01-03,0.984,0.7165,0.984
2017-01-04,0.993,0.9146,0.993
2017-01-05,0.993,0.0,0.993
2017-01-06,0.985,-0.8056,0.985
2017-01-09,0.995,1.0152,0.995
2017-01-10,0.992,-0.3015,0.992
2017-01-11,0.983,-0.9073,0.983
2017-01-12,0.973,-1.0173,0.973
2017-01-13,0.966,-0.7194,0.966
2017-01-16,0.952,-1.4493,0.952
2017-01-17,0.96,0.8403,0.96
2017-01-18,0.957,-0.3125,0.957
2017-01-19,0.951,-0.627,0.951
2017-01-20,0.961,1.0515,0.961
2017-01-23,0.966,0.5203,0.966
2017-01-24,0.966,0.0,0.966
2017-01-25,0.965,-0.1035,0.965
2017-01-26,0.967,0.2073,0.967
2017-02-03,0.964,-0.3102,0.964
2017-02-06,0.97,0.6224,0.97
2017-02-07,0.967,-0.3093,0.967
2017-02-08,0.97,0.3102,0.97
2017-02-09,0.974,0.4124,0.974
2017-02-10,0.973,-0.1027,0.973
2017-02-13,0.978,0.5139,0.978
2017-02-14,0.978,0.0,0.978
2017-02-15,0.972,-0.6135,0.972
2017-02-16,0.978,0.6173,0.978
2017-02-17,0.977,-0.1022,0.977
2017-02-20,0.987,1.0235,0.987
2017-02-21,0.996,0.9119,0.996
2017-02-22,0.998,0.2008,0.998
2017-02-23,0.992,-0.6012,0.992
2017-02-24,1.002,1.0081,1.002
2017-02-27,0.994,-0.7984,0.994
2017-02-28,0.998,0.4024,0.998
2017-03-01,0.999,0.1002,0.999
2017-03-02,0.994,-0.5005,0.994
2017-03-03,0.998,0.4024,0.998
2017-03-06,1.014,1.6032,1.014
2017-03-07,1.016,0.1972,1.016
2017-03-08,1.01,-0.5906,1.01
2017-03-09,1.009,-0.099,1.009
2017-03-10,1.021,1.1893,1.021
2017-03-13,1.039,1.763,1.039
2017-03-14,1.035,-0.385,1.035
2017-03-15,1.024,-1.0628,1.024
2017-03-16,1.036,1.1719,1.036
2017-03-17,1.027,-0.8687,1.027
2017-03-20,1.026,-0.0974,1.026
2017-03-21,1.033,0.6823,1.033
2017-03-22,1.034,0.0968,1.034
2017-03-23,1.035,0.0967,1.035
2017-03-24,1.041,0.5797,1.041
2017-03-27,1.045,0.3842,1.045
2017-03-28,1.04,-0.4785,1.04
2017-03-29,1.041,0.0962,1.041
2017-03-30,1.014,-2.5937,1.014
2017-03-31,1.016,0.1972,1.016
2017-04-05,1.035,1.8701,1.035
2017-04-06,1.038,0.2899,1.038
2017-04-07,1.041,0.289,1.041
2017-04-10,1.027,-1.3449,1.027
2017-04-11,1.021,-0.5842,1.021
2017-04-12,1.012,-0.8815,1.012
2017-04-13,1.016,0.3953,1.016
2017-04-14,1.008,-0.7874,1.008
2017-04-17,1.004,-0.3968,1.004
2017-04-18,1.005,0.0996,1.005
2017-04-19,1.01,0.4975,1.01
2017-04-20,1.009,-0.099,1.009
2017-04-21,1.009,0.0,1.009
2017-04-24,0.997,-1.1893,0.997
2017-04-25,1.004,0.7021,1.004
2017-04-26,1.004,0.0,1.004
2017-04-27,1.014,0.996,1.014
2017-04-28,1.013,-0.0986,1.013
2017-05-02,1.016,0.2962,1.016
2017-05-03,1.015,-0.0984,1.015
2017-05-04,1.009,-0.5911,1.009
2017-05-05,0.995,-1.3875,0.995
2017-05-08,0.984,-1.1055,0.984
2017-05-09,0.991,0.7114,0.991
2017-05-10,0.991,0.0,0.991
2017-05-11,0.991,0.0,0.991
2017-05-12,0.998,0.7064,0.998
2017-05-15,1.004,0.6012,1.004
2017-05-16,1.021,1.6932,1.021
2017-05-17,1.016,-0.4897,1.016
2017-05-18,1.01,-0.5906,1.01
2017-05-19,1.002,-0.7921,1.002
2017-05-22,0.999,-0.2994,0.999
2017-05-23,0.997,-0.2002,0.997
2017-05-24,0.999,0.2006,0.999
2017-05-25,1.0,0.1001,1.0
2017-05-26,0.991,-0.9,0.991
2017-05-31,0.988,-0.3027,0.988
2017-06-01,0.979,-0.9109,0.979
2017-06-02,0.981,0.2043,0.981
2017-06-05,0.988,0.7136,0.988
2017-06-06,0.988,0.0,0.988
2017-06-07,1.005,1.7206,1.005
2017-06-08,1.014,0.8955,1.014
2017-06-09,1.017,0.2959,1.017
2017-06-12,1.011,-0.59,1.011
2017-06-13,1.018,0.6924,1.018
2017-06-14,1.011,-0.6876,1.011
2017-06-15,1.016,0.4946,1.016
2017-06-16,1.014,-0.1969,1.014
2017-06-19,1.025,1.0848,1.025
2017-06-20,1.026,0.0976,1.026
2017-06-21,1.043,1.6569,1.043
2017-06-22,1.028,-1.4382,1.028
2017-06-23,1.036,0.7782,1.036
2017-06-26,1.05,1.3514,1.05
2017-06-27,1.043,-0.6667,1.043
2017-06-28,1.033,-0.9588,1.033
2017-06-29,1.037,0.3872,1.037
2017-06-30,1.043,0.5786,1.043
2017-07-03,1.043,0.0,1.043
2017-07-04,1.049,0.5753,1.049
2017-07-05,1.057,0.7626,1.057
2017-07-06,1.066,0.8515,1.066
2017-07-07,1.064,-0.1876,1.064
2017-07-10,1.059,-0.4699,1.059
2017-07-11,1.056,-0.2833,1.056
2017-07-12,1.058,0.1894,1.058
2017-07-13,1.055,-0.2836,1.055
2017-07-14,1.051,-0.3791,1.051
2017-07-17,1.026,-2.3787,1.026
2017-07-18,1.026,0.0,1.026
2017-07-19,1.04,1.3645,1.04
2017-07-20,1.049,0.8654,1.049
2017-07-21,1.061,1.1439,1.061
2017-07-24,1.057,-0.377,1.057
2017-07-25,1.062,0.473,1.062
2017-07-26,1.059,-0.2825,1.059
2017-07-27,1.071,1.1331,1.071
2017-07-28,1.083,1.1204,1.083
2017-07-31,1.086,0.277,1.086
2017-08-01,1.083,-0.2762,1.083
2017-08-02,1.078,-0.4617,1.078
2017-08-03,1.078,0.0,1.078
2017-08-04,1.064,-1.2987,1.064
2017-08-07,1.074,0.9398,1.074
2017-08-08,1.072,-0.1862,1.072
2017-08-09,1.075,0.2799,1.075
2017-08-10,1.073,-0.186,1.073
2017-08-11,1.063,-0.932,1.063
2017-08-14,1.091,2.6341,1.091
2017-08-15,1.102,1.0082,1.102
2017-08-16,1.112,0.9074,1.112
2017-08-17,1.108,-0.3597,1.108
2017-08-18,1.099,-0.8123,1.099
2017-08-21,1.108,0.8189,1.108
2017-08-22,1.105,-0.2708,1.105
2017-08-23,1.104,-0.0905,1.104
2017-08-24,1.093,-0.9964,1.093
2017-08-25,1.103,0.9149,1.103
2017-08-28,1.122,1.7226,1.122
2017-08-29,1.125,0.2674,1.125
2017-08-30,1.131,0.5333,1.131
2017-08-31,1.145,1.2378,1.145
2017-09-01,1.147,0.1747,1.147
2017-09-04,1.157,0.8718,1.157
2017-09-05,1.175,1.5557,1.175
2017-09-06,1.18,0.4255,1.18
2017-09-07,1.179,-0.0847,1.179
2017-09-08,1.183,0.3393,1.183
2017-09-11,1.2,1.437,1.2
2017-09-12,1.192,-0.6667,1.192
2017-09-13,1.204,1.0067,1.204
2017-09-14,1.219,1.2458,1.219
2017-09-15,1.21,-0.7383,1.21
2017-09-18,1.228,1.4876,1.228
2017-09-19,1.229,0.0814,1.229
2017-09-20,1.245,1.3019,1.245
2017-09-21,1.239,-0.4819,1.239
2017-09-22,1.246,0.565,1.246
2017-09-25,1.233,-1.0433,1.233
2017-09-26,1.232,-0.0811,1.232
2017-09-27,1.258,2.1104,1.258
2017-09-28,1.261,0.2385,1.261
2017-09-29,1.272,0.8723,1.272
2017-10-09,1.293,1.6509,1.293
2017-10-10,1.301,0.6187,1.301
2017-10-11,1.288,-0.9992,1.288
2017-10-12,1.307,1.4752,1.307
2017-10-13,1.326,1.4537,1.326
2017-10-16,1.306,-1.5083,1.306
2017-10-17,1.313,0.536,1.313
2017-10-18,1.311,-0.1523,1.311
2017-10-19,1.305,-0.4577,1.305
2017-10-20,1.31,0.3831,1.31
2017-10-23,1.319,0.687,1.319
2017-10-24,1.319,0.0,1.319
2017-10-25,1.331,0.9098,1.331
2017-10-26,1.342,0.8264,1.342
2017-10-27,1.343,0.0745,1.343
2017-10-30,1.345,0.1489,1.345
2017-10-31,1.369,1.7844,1.369
2017-11-01,1.372,0.2191,1.372
2017-11-02,1.361,-0.8017,1.361
2017-11-03,1.38,1.396,1.38
2017-11-06,1.417,2.6812,1.417
2017-11-07,1.434,1.1997,1.434
2017-11-08,1.44,0.4184,1.44
2017-11-09,1.46,1.3889,1.46
2017-11-10,1.475,1.0274,1.475
2017-11-13,1.479,0.2712,1.479
2017-11-14,1.466,-0.879,1.466
2017-11-15,1.444,-1.5007,1.444
