净值日期,单位净值,日增长率,累计净值
2014-12-02,1.0,0.0,1.0
2014-12-05,0.996,0.0,0.996
2014-12-12,0.969,0.0,0.969
2014-12-19,1.002,0.0,1.002
2014-12-26,1.031,0.0,1.031
2014-12-31,1.099,0.0,1.099
2015-01-09,1.075,0.0,1.075
2015-01-16,1.08,0.0,1.08
2015-01-23,1.105,0.0,1.105
2015-01-30,1.121,0.0,1.121
2015-02-02,1.125,0.3568,1.125
2015-02-03,1.157,2.8444,1.157
2015-02-04,1.152,-0.4322,1.152
2015-02-05,1.16,0.6944,1.16
2015-02-06,1.144,-1.3793,1.144
2015-02-09,1.131,-1.1364,1.131
2015-02-10,1.157,2.2989,1.157
2015-02-11,1.186,2.5065,1.186
2015-02-12,1.194,0.6745,1.194
2015-02-13,1.208,1.1725,1.208
2015-02-16,1.256,3.9735,1.256
2015-02-17,1.255,-0.0796,1.255
2015-02-25,1.222,-2.6295,1.222
2015-02-26,1.227,0.4092,1.227
2015-02-27,1.232,0.4075,1.232
2015-03-02,1.25,1.461,1.25
2015-03-03,1.229,-1.68,1.229
2015-03-04,1.251,1.7901,1.251
2015-03-05,1.272,1.6787,1.272
2015-03-06,1.241,-2.4371,1.241
2015-03-09,1.269,2.2562,1.269
2015-03-10,1.302,2.6005,1.302
2015-03-11,1.288,-1.0753,1.288
2015-03-12,1.272,-1.2422,1.272
2015-03-13,1.292,1.5723,1.292
2015-03-16,1.351,4.5666,1.351
2015-03-17,1.356,0.3701,1.356
2015-03-18,1.386,2.2124,1.386
2015-03-19,1.384,-0.1443,1.384
2015-03-20,1.399,1.0838,1.399
2015-03-23,1.449,3.574,1.449
2015-03-24,1.498,3.3816,1.498
2015-03-25,1.527,1.9359,1.527
2015-03-26,1.475,-3.4054,1.475
2015-03-27,1.475,0.0,1.475
2015-03-30,1.473,-0.1356,1.473
2015-03-31,1.46,-0.8826,1.46
2015-04-01,1.499,2.6712,1.499
2015-04-02,1.509,0.6671,1.509
2015-04-03,1.523,0.9278,1.523
2015-04-07,1.549,1.7072,1.549
2015-04-08,1.546,-0.1937,1.546
2015-04-09,1.521,-1.6171,1.521
2015-04-10,1.552,2.0381,1.552
2015-04-13,1.563,0.7088,1.563
2015-04-14,1.562,-0.064,1.562
2015-04-15,1.527,-2.2407,1.527
2015-04-16,1.559,2.0956,1.559
2015-04-17,1.583,1.5394,1.583
2015-04-20,1.575,-0.5054,1.575
2015-04-21,1.607,2.0317,1.607
