净值日期,单位净值,累计净值
2026-06-16,2.7005,2.7005
2026-06-17,2.8224,2.8224
2026-06-18,2.9116,2.9116
2026-06-22,2.9604,2.9604
2026-06-23,2.8762,2.8762
2026-06-25,3.1374,3.1374
2026-06-29,3.14,3.14
2026-07-01,3.1834,3.1834
2026-07-02,2.9587,2.9587
2026-07-03,2.9572,2.9572
2026-07-06,2.9342,2.9342
2026-07-07,2.9243,2.9243
2026-07-08,2.9085,2.9085
2026-07-09,3.1214,3.1214
2026-07-10,2.9679,2.9679
2026-07-13,2.8296,2.8296
2026-07-14,2.898,2.898
