净值日期,单位净值,日增长率
2010-04-22,1.0,0.0
2010-04-23,0.999,-0.1
2010-04-30,0.9879,-1.1111
2010-05-07,0.9825,-0.5466
2010-05-14,0.9721,-1.0585
2010-05-21,0.9688,-0.3395
2010-05-24,0.9868,1.858
2010-05-25,0.9791,-0.7803
2010-05-26,0.9786,-0.0511
2010-05-27,0.9869,0.8482
2010-05-28,0.9855,-0.1419
2010-05-31,0.9732,-1.2481
2010-06-01,0.9666,-0.6782
2010-06-02,0.9728,0.6414
2010-06-03,0.9682,-0.4729
2010-06-04,0.9702,0.2066
2010-06-07,0.9694,-0.0825
2010-06-08,0.9686,-0.0825
2010-06-09,0.9809,1.2699
2010-06-10,0.9857,0.4893
2010-06-11,0.9845,-0.1217
2010-06-17,0.9762,-0.8431
2010-06-18,0.9549,-2.1819
2010-06-21,0.9687,1.4452
2010-06-22,0.9695,0.0826
2010-06-23,0.9683,-0.1238
2010-06-24,0.9688,0.0516
2010-06-25,0.9605,-0.8567
2010-06-28,0.9543,-0.6455
2010-06-29,0.9271,-2.8503
2010-06-30,0.922,-0.5501
2010-07-01,0.9148,-0.7809
2010-07-02,0.9126,-0.2405
2010-07-05,0.9108,-0.1972
2010-07-06,0.9223,1.2626
2010-07-07,0.9307,0.9108
2010-07-08,0.9284,-0.2471
2010-07-09,0.9462,1.9173
2010-07-12,0.9526,0.6764
2010-07-13,0.9431,-0.9973
2010-07-14,0.9452,0.2227
2010-07-15,0.9319,-1.4071
2010-07-16,0.9358,0.4185
2010-07-19,0.9518,1.7098
2010-07-20,0.969,1.8071
2010-07-21,0.9686,-0.0413
2010-07-22,0.9778,0.9498
2010-07-23,0.98,0.225
2010-07-26,0.9848,0.4898
2010-07-27,0.9845,-0.0305
2010-07-28,1.0027,1.8487
2010-07-29,1.0045,0.1795
2010-07-30,1.0037,-0.0796
2010-08-02,1.0173,1.355
2010-08-03,1.0043,-1.2779
2010-08-04,1.0065,0.2191
2010-08-05,1.0038,-0.2683
2010-08-06,1.0169,1.305
2010-08-09,1.0247,0.767
2010-08-10,0.9959,-2.8106
2010-08-11,1.0006,0.4719
2010-08-12,0.9898,-1.0794
2010-08-13,1.0036,1.3942
2010-08-16,1.0272,2.3515
2010-08-17,1.0321,0.477
2010-08-18,1.029,-0.3004
2010-08-19,1.0321,0.3013
2010-08-20,1.0122,-1.9281
2010-08-23,1.0144,0.2173
2010-08-24,1.0195,0.5028
2010-08-25,1.0023,-1.6871
2010-08-26,1.0068,0.449
2010-08-27,1.0118,0.4966
2010-08-30,1.036,2.3918
2010-08-31,1.041,0.4826
2010-09-01,1.0266,-1.3833
2010-09-02,1.0362,0.9351
2010-09-03,1.0387,0.2413
2010-09-06,1.032,-0.645
2010-09-07,1.0353,0.3198
2010-09-08,1.0413,0.5795
2010-09-09,1.03,-1.0852
2010-09-10,1.0409,1.0583
2010-09-13,1.0521,1.076
2010-09-14,1.0547,0.2471
2010-09-15,1.0382,-1.5644
2010-09-16,1.0235,-1.4159
2010-09-17,1.0278,0.4201
2010-09-20,1.0185,-0.9048
2010-09-21,1.0155,-0.2946
2010-09-27,1.0349,1.9104
2010-09-28,1.0329,-0.1933
2010-09-29,1.0226,-0.9972
2010-09-30,1.0441,2.1025
2010-10-08,1.0672,2.2124
2010-10-11,1.0694,0.2061
2010-10-12,1.0834,1.3091
2010-10-13,1.0996,1.4953
2010-10-14,1.0876,-1.0913
2010-10-15,1.0969,0.8551
2010-10-18,1.0799,-1.5498
2010-10-19,1.1025,2.0928
2010-10-20,1.0865,-1.4512
2010-10-21,1.0871,0.0552
2010-10-22,1.0894,0.2116
2010-10-25,1.1111,1.9919
2010-10-26,1.111,-0.009
2010-10-27,1.103,-0.7201
2010-10-28,1.1072,0.3808
2010-10-29,1.1169,0.8761
2010-11-01,1.1422,2.2652
2010-11-02,1.1386,-0.3152
2010-11-03,1.1149,-2.0815
2010-11-04,1.129,1.2647
2010-11-05,1.1417,1.1249
2010-11-08,1.1573,1.3664
2010-11-09,1.1611,0.3284
2010-11-10,1.156,-0.4392
2010-11-11,1.1471,-0.7699
2010-11-12,1.0869,-5.248
2010-11-15,1.1167,2.7417
2010-11-16,1.0761,-3.6357
2010-11-17,1.0528,-2.1652
2010-11-18,1.065,1.1588
2010-11-19,1.0859,1.9624
2010-11-22,1.0962,0.9485
2010-11-23,1.0843,-1.0856
2010-11-24,1.1097,2.3425
2010-11-25,1.12,0.9282
2010-11-26,1.1149,-0.4554
2010-11-29,1.1203,0.4843
2010-11-30,1.0933,-2.4101
2010-12-01,1.0872,-0.5579
2010-12-02,1.0884,0.1104
2010-12-03,1.0867,-0.1562
2010-12-06,1.0713,-1.4171
2010-12-07,1.0893,1.6802
2010-12-08,1.0846,-0.4315
2010-12-09,1.0643,-1.8717
2010-12-10,1.0811,1.5785
2010-12-13,1.1122,2.8767
2010-12-14,1.1259,1.2318
2010-12-15,1.1141,-1.0481
2010-12-16,1.1208,0.6014
2010-12-17,1.1275,0.5978
2010-12-20,1.1153,-1.082
2010-12-21,1.1436,2.5374
2010-12-22,1.14,-0.3148
2010-12-23,1.1208,-1.6842
2010-12-24,1.1101,-0.9547
2010-12-27,1.0816,-2.5673
2010-12-28,1.0603,-1.9693
2010-12-29,1.0717,1.0752
2010-12-30,1.0688,-0.2706
2010-12-31,1.0844,1.4596
2011-01-04,1.117,3.0063
2011-01-05,1.1201,0.2775
2011-01-06,1.1158,-0.3839
2011-01-07,1.1089,-0.6184
2011-01-10,1.0834,-2.2996
2011-01-11,1.0884,0.4615
2011-01-12,1.0985,0.928
2011-01-13,1.0901,-0.7647
2011-01-14,1.0778,-1.1283
2011-01-17,1.0384,-3.6556
2011-01-18,1.0373,-0.1059
2011-01-19,1.0641,2.5836
2011-01-20,1.0342,-2.8099
2011-01-21,1.0445,0.9959
2011-01-24,1.035,-0.9095
2011-01-25,1.0195,-1.4976
2011-01-26,1.0372,1.7361
2011-01-27,1.0411,0.376
2011-01-28,1.0471,0.5763
2011-01-31,1.067,1.9005
2011-02-01,1.0622,-0.4499
2011-02-09,1.0579,-0.4048
2011-02-10,1.0672,0.8791
2011-02-11,1.0765,0.8714
2011-02-14,1.0875,1.0218
2011-02-15,1.0914,0.3586
2011-02-16,1.0964,0.4581
2011-02-17,1.0945,-0.1733
2011-02-18,1.0843,-0.9319
2011-02-21,1.1073,2.1212
2011-02-22,1.0756,-2.8628
2011-02-23,1.0918,1.5061
2011-02-24,1.0917,-0.0092
2011-02-25,1.0907,-0.0916
2011-02-28,1.1083,1.6136
2011-03-01,1.103,-0.4782
2011-03-02,1.0935,-0.8613
2011-03-03,1.075,-1.6918
2011-03-04,1.0812,0.5767
2011-03-07,1.0858,0.4255
2011-03-08,1.0907,0.4513
2011-03-09,1.0986,0.7243
2011-03-10,1.0905,-0.7373
2011-03-11,1.0807,-0.8987
2011-03-14,1.0896,0.8235
2011-03-15,1.0703,-1.7713
2011-03-16,1.0781,0.7288
2011-03-17,1.0658,-1.1409
2011-03-18,1.0671,0.122
2011-03-21,1.0653,-0.1687
2011-03-22,1.0643,-0.0939
2011-03-23,1.0804,1.5127
2011-03-24,1.0753,-0.472
2011-03-25,1.0912,1.4787
2011-03-28,1.0872,-0.3666
2011-03-29,1.0798,-0.6806
2011-03-30,1.0699,-0.9168
2011-03-31,1.0615,-0.7851
2011-04-01,1.0746,1.2341
2011-04-06,1.071,-0.335
2011-04-07,1.0751,0.3828
2011-04-08,1.0894,1.3301
2011-04-11,1.0807,-0.7986
2011-04-12,1.081,0.0278
2011-04-13,1.0882,0.666
2011-04-14,1.0937,0.5054
2011-04-15,1.0923,-0.128
2011-04-18,1.0934,0.1007
2011-04-19,1.0709,-2.0578
2011-04-20,1.0759,0.4669
2011-04-21,1.0821,0.5763
2011-04-22,1.078,-0.3789
2011-04-25,1.0563,-2.013
2011-04-26,1.045,-1.0698
2011-04-27,1.0376,-0.7081
2011-04-28,1.0097,-2.6889
2011-04-29,1.0258,1.5945
2011-05-03,1.0339,0.7896
2011-05-04,1.0042,-2.8726
2011-05-05,1.0062,0.1992
2011-05-06,1.0136,0.7354
2011-05-09,1.0171,0.3453
2011-05-10,1.024,0.6784
2011-05-11,1.0269,0.2832
2011-05-12,1.0182,-0.8472
2011-05-13,1.0249,0.658
2011-05-16,1.0253,0.039
2011-05-17,1.0228,-0.2438
2011-05-18,1.0283,0.5377
2011-05-19,1.0213,-0.6807
2011-05-20,1.0147,-0.6462
2011-05-23,0.9914,-2.2962
2011-05-24,0.9942,0.2824
2011-05-25,0.9829,-1.1366
2011-05-26,0.9712,-1.1904
2011-05-27,0.9601,-1.1429
2011-05-30,0.9507,-0.9791
2011-05-31,0.9596,0.9362
2011-06-01,0.9675,0.8233
2011-06-02,0.9524,-1.5607
