净值日期,单位净值,日增长率
2015-05-21,1.0,0.0
2015-05-22,1.0,0.0
2015-05-25,1.0,0.0
2015-05-26,1.0015,0.15
2015-05-27,0.9997,-0.1797
2015-05-28,0.9916,-0.8102
2015-05-29,0.9954,0.3832
2015-06-01,1.0068,1.1453
2015-06-02,1.0158,0.8939
2015-06-03,1.0157,-0.0098
2015-06-04,1.0158,0.0098
2015-06-05,1.0137,-0.2067
2015-06-08,1.0025,-1.1049
2015-06-09,1.0027,0.02
2015-06-10,1.0138,1.107
2015-06-11,1.0206,0.6707
2015-06-12,1.032,1.117
2015-06-15,0.9989,-3.2074
2015-06-16,0.9687,-3.0233
2015-06-17,0.9944,2.653
2015-06-18,0.9349,-5.9835
2015-06-19,0.8679,-7.1665
2015-06-23,0.8774,1.0946
2015-06-24,0.8793,0.2165
2015-06-25,0.8469,-3.6847
2015-06-26,0.7712,-8.9385
2015-06-29,0.7113,-7.7671
2015-06-30,0.7591,6.7201
2015-07-01,0.7278,-4.1233
2015-07-02,0.689,-5.3311
2015-07-03,0.6685,-2.9753
2015-07-06,0.6472,-3.1862
2015-07-07,0.596,-7.911
2015-07-08,1.0,-4.7148
2015-07-09,1.0122,1.22
2015-07-10,1.0498,3.7147
2015-07-13,1.0982,4.6104
2015-07-14,1.1206,2.0397
2015-07-15,1.0562,-5.7469
2015-07-16,1.0668,1.0036
2015-07-17,1.1261,5.5587
2015-07-20,1.1535,2.4332
2015-07-21,1.1752,1.8812
2015-07-22,1.1737,-0.1276
2015-07-23,1.2035,2.539
2015-07-24,1.1863,-1.4292
2015-07-27,1.0865,-8.4127
2015-07-28,1.0492,-3.433
2015-07-29,1.0857,3.4788
2015-07-30,1.0171,-6.3185
2015-07-31,1.003,-1.3863
2015-08-03,0.9562,-4.666
2015-08-04,1.0158,6.233
2015-08-05,1.0066,-0.9057
2015-08-06,0.9938,-1.2716
2015-08-07,1.043,4.9507
2015-08-10,1.1003,5.4938
2015-08-11,1.0871,-1.1997
2015-08-12,1.0639,-2.1341
2015-08-13,1.0854,2.0209
2015-08-14,1.0875,0.1935
2015-08-17,1.0917,0.3862
2015-08-18,1.0109,-7.4013
2015-08-19,1.0345,2.3346
2015-08-20,1.0099,-2.378
2015-08-21,0.957,-5.2381
2015-08-24,0.8731,-8.767
2015-08-25,0.7891,-9.6209
2015-08-26,0.7423,-5.9308
2015-08-27,0.7714,3.9202
2015-08-28,0.8147,5.6132
2015-08-31,0.7865,-3.4614
2015-09-01,0.7461,-5.1367
2015-09-02,0.7367,-1.2599
2015-09-07,0.7439,0.9773
2015-09-08,0.7759,4.3017
2015-09-09,0.7986,2.9256
2015-09-10,0.7857,-1.6153
2015-09-11,0.7887,0.3818
2015-09-14,0.7463,-5.3759
2015-09-15,0.7135,-4.395
2015-09-16,0.7541,5.6903
2015-09-17,0.7484,-0.7559
2015-09-18,0.761,1.6836
2015-09-21,0.7929,4.1919
2015-09-22,0.7951,0.2775
2015-09-23,0.7908,-0.5408
2015-09-24,0.8011,1.3025
2015-09-25,0.7784,-2.8336
2015-09-28,0.8027,3.1218
2015-09-29,0.792,-1.333
2015-09-30,0.7945,0.3157
2015-10-08,0.8241,3.7256
2015-10-09,0.8295,0.6553
2015-10-12,0.8583,3.472
2015-10-13,0.868,1.1301
2015-10-14,0.8716,0.4147
2015-10-15,0.8924,2.3864
2015-10-16,0.8969,0.5043
2015-10-19,0.8893,-0.8474
2015-10-20,0.9101,2.3389
2015-10-21,0.876,-3.7468
2015-10-22,0.9327,6.4726
2015-10-23,0.9697,3.967
2015-10-26,0.9567,-1.3406
2015-10-27,0.9721,1.6097
2015-10-28,0.9372,-3.5902
2015-10-29,0.9399,0.2881
2015-10-30,0.9324,-0.798
2015-11-02,0.907,-2.7242
2015-11-03,0.9009,-0.6725
2015-11-04,0.9573,6.2604
2015-11-05,0.9464,-1.1386
2015-11-06,0.9659,2.0604
2015-11-09,0.9829,1.76
2015-11-10,0.9871,0.4273
2015-11-11,1.0141,2.7353
2015-11-12,1.0121,-0.1972
2015-11-13,0.9678,-4.377
2015-11-16,0.9828,1.5499
2015-11-17,0.9652,-1.7908
2015-11-18,0.9367,-2.9528
2015-11-19,0.9613,2.6262
2015-11-20,0.967,0.5929
2015-11-23,0.9617,-0.5481
2015-11-24,0.9699,0.8527
2015-11-25,1.011,4.2376
2015-11-26,0.9906,-2.0178
2015-11-27,0.9252,-6.6021
2015-11-30,0.9308,0.6053
2015-12-01,0.9359,0.5479
2015-12-02,0.9226,-1.4211
2015-12-03,0.9434,2.2545
2015-12-04,0.9341,-0.9858
2015-12-07,0.9478,1.4667
2015-12-08,0.9207,-2.8593
2015-12-09,0.9103,-1.1296
2015-12-10,0.9094,-0.0989
2015-12-11,0.897,-1.3635
2015-12-14,0.9124,1.7168
2015-12-15,0.9123,1.4303
2015-12-16,0.9131,0.0877
2015-12-17,0.9337,2.2561
2015-12-18,0.9403,0.7069
2015-12-21,0.9512,1.1592
2015-12-22,0.9583,0.7464
2015-12-23,0.9402,-1.8888
2015-12-24,0.9399,-0.0319
2015-12-25,0.9417,0.1915
2015-12-28,0.9193,-2.3787
2015-12-29,0.9253,0.6527
2015-12-30,0.9395,1.5346
2015-12-31,0.917,-2.3949
2016-01-04,0.8367,-8.7568
2016-01-05,0.8137,-2.7489
2016-01-06,0.8282,1.782
2016-01-07,0.7553,-8.8022
2016-01-08,0.7601,0.6355
2016-01-11,0.7028,-7.5385
2016-01-12,0.718,2.1628
2016-01-13,0.6899,-3.9136
2016-01-14,0.7253,5.1312
2016-01-15,0.7065,-2.592
2016-01-18,0.7232,2.3638
2016-01-19,0.7496,3.6504
2016-01-20,0.7356,-1.8677
2016-01-21,0.7043,-4.255
2016-01-22,0.7087,0.6247
2016-01-25,0.7134,0.6632
2016-01-26,0.659,-7.6255
2016-01-27,0.6508,-1.2443
2016-01-28,0.625,-3.9644
2016-01-29,1.0,4.3056
2016-02-01,0.9896,-1.04
2016-02-02,1.0274,3.8197
2016-02-03,1.03,0.2531
2016-02-04,1.0529,2.2233
2016-02-05,1.0421,-1.0257
2016-02-15,1.0423,0.0192
2016-02-16,1.0902,4.5956
2016-02-17,1.076,-1.3025
2016-02-18,1.0685,-0.697
2016-02-19,1.0763,0.73
2016-02-22,1.0923,1.4866
2016-02-23,1.085,-0.6683
2016-02-24,1.0909,0.5438
2016-02-25,1.0044,-7.9292
2016-02-26,0.9906,-1.374
2016-02-29,0.9289,-6.2285
2016-03-01,0.9482,2.0777
2016-03-02,0.9878,4.1763
2016-03-03,0.9887,0.0911
2016-03-04,0.9461,-4.3087
2016-03-07,0.9657,2.0717
2016-03-08,0.978,1.2737
2016-03-09,0.9743,-0.3783
2016-03-10,0.9553,-1.9501
2016-03-11,0.9531,-0.2303
2016-03-14,0.9895,3.8191
2016-03-15,0.9808,-0.8792
2016-03-16,0.9711,-0.989
2016-03-17,1.0112,4.1293
2016-03-18,1.0469,3.5305
2016-03-21,1.0685,2.0632
2016-03-22,1.0709,0.2246
2016-03-23,1.0739,0.2801
2016-03-24,1.0541,-1.8437
2016-03-25,1.0634,0.8823
2016-03-28,1.0546,-0.8275
2016-03-29,1.036,-1.7637
2016-03-30,1.0801,4.2568
2016-03-31,1.0775,-0.2407
2016-04-01,1.0665,-1.0209
2016-04-05,1.0982,2.9723
2016-04-06,1.1031,0.4462
2016-04-07,1.0879,-1.3779
2016-04-08,1.0806,-0.671
2016-04-11,1.1268,4.2754
2016-04-12,1.1257,-0.0976
2016-04-13,1.1396,1.2348
2016-04-14,1.1421,0.2194
2016-04-15,1.135,-0.6217
2016-04-18,1.1109,-2.1233
2016-04-19,1.1142,0.2971
2016-04-20,1.0488,-5.8697
2016-04-21,1.0395,-0.8867
2016-04-22,1.0578,1.7605
2016-04-25,1.0529,-0.4632
2016-04-26,1.0724,1.852
2016-04-27,1.0622,-0.9511
2016-04-28,1.0653,0.2918
2016-04-29,1.0582,-0.6665
2016-05-03,1.0851,2.5421
2016-05-04,1.0836,-0.1382
2016-05-05,1.0908,0.6645
2016-05-06,1.0498,-3.7587
2016-05-09,1.0097,-3.8198
2016-05-10,1.0089,-0.0792
2016-05-11,1.0094,0.0496
2016-05-12,1.0097,0.0297
2016-05-13,1.0046,-0.5051
2016-05-16,1.0195,1.4832
2016-05-17,1.0454,2.5405
2016-05-18,1.0121,-3.1854
2016-05-19,1.0147,0.2569
2016-05-20,1.0241,0.9264
2016-05-23,1.0352,1.0839
2016-05-24,1.0209,-1.3814
2016-05-25,1.02,-0.0882
2016-05-26,1.0289,0.8725
2016-05-27,1.0218,-0.6901
2016-05-30,1.0204,-0.137
2016-05-31,1.0593,3.8122
2016-06-01,1.0625,0.3021
2016-06-02,1.0702,0.7247
2016-06-03,1.0812,1.0278
2016-06-06,1.0799,-0.1202
2016-06-07,1.077,-0.2685
2016-06-08,1.0706,-0.5942
2016-06-13,1.021,-4.6329
2016-06-14,1.0222,0.1175
2016-06-15,1.0477,2.4946
2016-06-16,1.0419,-0.5536
2016-06-17,1.0676,2.4666
2016-06-20,1.0661,-0.1405
2016-06-21,1.0517,-1.3507
2016-06-22,1.071,1.8351
2016-06-23,1.0648,-0.5789
2016-06-24,1.0538,-1.0331
2016-06-27,1.0788,2.3724
2016-06-28,1.0967,1.6593
2016-06-29,1.0988,0.1915
2016-06-30,1.102,0.2912
2016-07-01,1.0927,-0.8439
2016-07-04,1.1134,1.8944
2016-07-05,1.1116,-0.1617
2016-07-06,1.1167,0.4588
2016-07-07,1.1312,1.2985
2016-07-08,1.1308,-0.0354
2016-07-11,1.1188,-1.0612
2016-07-12,1.1374,1.6625
2016-07-13,1.1434,0.5275
2016-07-14,1.1423,-0.0962
2016-07-15,1.1302,-1.0593
2016-07-18,1.1297,-0.0442
2016-07-19,1.134,0.3806
2016-07-20,1.1384,0.388
2016-07-21,1.1401,0.1493
2016-07-22,1.1335,-0.5789
2016-07-25,1.1336,0.0088
2016-07-26,1.1525,1.6673
2016-07-27,1.0978,-4.7462
2016-07-28,1.0922,-0.5101
2016-07-29,1.0919,-0.0275
2016-08-01,1.0764,-1.4195
2016-08-02,1.0849,0.7897
2016-08-03,1.0917,0.6268
2016-08-04,1.096,0.3939
2016-08-05,1.0854,-0.9672
2016-08-08,1.0981,1.1701
2016-08-09,1.1087,0.9653
2016-08-10,1.1096,0.0812
2016-08-11,1.097,-1.1355
2016-08-12,1.1115,1.3218
2016-08-15,1.1361,2.2132
2016-08-16,1.1466,0.9242
2016-08-17,1.1473,0.0611
2016-08-18,1.1434,-0.3399
2016-08-19,1.1429,-0.0437
2016-08-22,1.1332,-0.8487
2016-08-23,1.1375,0.3795
2016-08-24,1.1388,0.1143
2016-08-25,1.1375,-0.1142
2016-08-26,1.1468,0.8176
2016-08-29,1.152,0.4534
2016-08-30,1.1503,-0.1476
2016-08-31,1.1494,-0.0782
2016-09-01,1.1373,-1.0527
2016-09-02,1.1311,-0.5452
2016-09-05,1.1304,-0.0619
2016-09-06,1.1485,1.6012
2016-09-07,1.1543,0.505
2016-09-08,1.1553,0.0866
2016-09-09,1.1415,-1.1945
2016-09-12,1.1037,-3.3114
2016-09-13,1.1091,0.4893
2016-09-14,1.1056,-0.3156
2016-09-19,1.1213,1.42
2016-09-20,1.1197,-0.1427
