净值日期,单位净值,日增长率,累计净值
2016-02-03,1.0,0.0,1.0
2016-02-05,1.0,0.0,1.0
2016-02-15,1.0,0.0,1.0
2016-02-16,1.001,0.1,1.001
2016-02-17,1.001,0.0,1.001
2016-02-18,1.0,-0.0999,1.0
2016-02-19,1.004,0.4,1.004
2016-02-22,1.007,0.2988,1.007
2016-02-23,1.004,-0.2979,1.004
2016-02-24,1.004,0.0,1.004
2016-02-25,0.99,-1.3944,0.99
2016-02-26,0.989,-0.101,0.989
2016-02-29,0.979,-1.0111,0.979
2016-03-01,0.98,0.1021,0.98
2016-03-02,0.989,0.9184,0.989
2016-03-03,0.99,0.1011,0.99
2016-03-04,0.983,-0.7071,0.983
2016-03-07,0.987,0.4069,0.987
2016-03-08,0.987,0.0,0.987
2016-03-09,0.987,0.0,0.987
2016-03-10,0.983,-0.4053,0.983
2016-03-11,0.983,0.0,0.983
2016-03-14,0.989,0.6104,0.989
2016-03-15,0.995,0.6067,0.995
2016-03-16,0.992,-0.3015,0.992
2016-03-17,0.998,0.6048,0.998
2016-03-18,1.003,0.501,1.003
2016-03-21,1.009,0.5982,1.009
2016-03-22,1.007,-0.1982,1.007
2016-03-23,1.006,-0.0993,1.006
2016-03-24,0.999,-0.6958,0.999
2016-03-25,1.002,0.3003,1.002
2016-03-28,1.002,0.0,1.002
2016-03-29,0.998,-0.3992,0.998
2016-03-30,1.006,0.8016,1.006
2016-03-31,1.006,0.0,1.006
2016-04-01,1.005,-0.0994,1.005
2016-04-05,1.015,0.995,1.015
2016-04-06,1.015,0.0,1.015
2016-04-07,1.008,-0.6897,1.008
2016-04-08,1.013,0.496,1.013
2016-04-11,1.024,1.0859,1.024
2016-04-12,1.017,-0.6836,1.017
2016-04-13,1.023,0.59,1.023
2016-04-14,1.023,0.0,1.023
2016-04-15,1.024,0.0978,1.024
2016-04-18,1.019,-0.4883,1.019
2016-04-19,1.02,0.0981,1.02
2016-04-20,1.008,-1.1765,1.008
2016-04-21,1.008,0.0,1.008
2016-04-22,1.012,0.3968,1.012
2016-04-25,1.013,0.0988,1.013
2016-04-26,1.015,0.1974,1.015
2016-04-27,1.02,0.4926,1.02
2016-04-28,1.014,-0.5882,1.014
2016-04-29,1.02,0.5917,1.02
2016-05-03,1.025,0.4902,1.025
2016-05-04,1.025,0.0,1.025
2016-05-05,1.023,-0.1951,1.023
2016-05-06,1.019,-0.391,1.019
2016-05-09,1.008,-1.0795,1.008
2016-05-10,1.009,0.0992,1.009
2016-05-11,1.003,-0.5946,1.003
2016-05-12,0.998,-0.4985,0.998
2016-05-13,1.005,0.7014,1.005
2016-05-16,1.005,0.0,1.005
2016-05-17,1.009,0.398,1.009
2016-05-18,1.002,-0.6938,1.002
2016-05-19,1.003,0.0998,1.003
2016-05-20,1.005,0.1994,1.005
2016-05-23,1.009,0.398,1.009
2016-05-24,1.005,-0.3964,1.005
2016-05-25,1.005,0.0,1.005
2016-05-26,1.006,0.0995,1.006
2016-05-27,1.007,0.0994,1.007
2016-05-30,1.008,0.0993,1.008
2016-05-31,1.015,0.6944,1.015
2016-06-01,1.014,-0.0985,1.014
2016-06-02,1.016,0.1972,1.016
2016-06-03,1.017,0.0984,1.017
2016-06-06,1.017,0.0,1.017
2016-06-07,1.015,-0.1967,1.015
2016-06-08,1.015,0.0,1.015
2016-06-13,1.008,-0.6897,1.008
2016-06-14,1.01,0.1984,1.01
2016-06-15,1.016,0.5941,1.016
2016-06-16,1.014,-0.1969,1.014
2016-06-17,1.02,0.5917,1.02
2016-06-20,1.026,0.5882,1.026
2016-06-21,1.02,-0.5848,1.02
2016-06-22,1.027,0.6863,1.027
2016-06-23,1.027,0.0,1.027
2016-06-24,1.023,-0.3895,1.023
2016-06-27,1.036,1.2708,1.036
2016-06-28,1.049,1.2548,1.049
2016-06-29,1.049,0.0,1.049
2016-06-30,1.059,0.9533,1.059
2016-07-01,1.057,-0.1889,1.057
2016-07-04,1.068,1.0407,1.068
2016-07-05,1.068,0.0,1.068
2016-07-06,1.083,1.4045,1.083
2016-07-07,1.086,0.277,1.086
2016-07-08,1.09,0.3683,1.09
2016-07-11,1.092,0.1835,1.092
2016-07-12,1.109,1.5568,1.109
2016-07-13,1.108,-0.0902,1.108
2016-07-14,1.102,-0.5415,1.102
2016-07-15,1.112,0.9074,1.112
2016-07-18,1.105,-0.6295,1.105
2016-07-19,1.102,-0.2715,1.102
2016-07-20,1.107,0.4537,1.107
2016-07-21,1.108,0.0903,1.108
2016-07-22,1.093,-1.3538,1.093
2016-07-25,1.093,0.0,1.093
2016-07-26,1.117,2.1958,1.117
2016-07-27,1.096,-1.88,1.096
2016-07-28,1.1,0.365,1.1
2016-07-29,1.104,0.3636,1.104
2016-08-01,1.083,-1.9022,1.083
2016-08-02,1.089,0.554,1.089
2016-08-03,1.091,0.1837,1.091
2016-08-04,1.086,-0.4583,1.086
2016-08-05,1.081,-0.4604,1.081
2016-08-08,1.09,0.8326,1.09
2016-08-09,1.099,0.8257,1.099
2016-08-10,1.104,0.455,1.104
2016-08-11,1.091,-1.1775,1.091
2016-08-12,1.097,0.55,1.097
2016-08-15,1.115,1.6408,1.115
2016-08-16,1.121,0.5381,1.121
2016-08-17,1.127,0.5352,1.127
2016-08-18,1.123,-0.3549,1.123
2016-08-19,1.129,0.5343,1.129
2016-08-22,1.135,0.5314,1.135
2016-08-23,1.14,0.4405,1.14
2016-08-24,1.137,-0.2632,1.137
2016-08-25,1.134,-0.2639,1.134
2016-08-26,1.142,0.7055,1.142
2016-08-29,1.145,0.2627,1.145
2016-08-30,1.136,-0.786,1.136
2016-08-31,1.137,0.088,1.137
2016-09-01,1.13,-0.6157,1.13
2016-09-02,1.133,0.2655,1.133
2016-09-05,1.134,0.0883,1.134
2016-09-06,1.144,0.8818,1.144
2016-09-07,1.141,-0.2622,1.141
2016-09-08,1.147,0.5259,1.147
2016-09-09,1.141,-0.5231,1.141
2016-09-12,1.121,-1.7528,1.121
2016-09-13,1.116,-0.446,1.116
2016-09-14,1.113,-0.2688,1.113
2016-09-19,1.124,0.9883,1.124
2016-09-20,1.122,-0.1779,1.122
2016-09-21,1.127,0.4456,1.127
2016-09-22,1.137,0.8873,1.137
2016-09-23,1.141,0.3518,1.141
2016-09-26,1.122,-1.6652,1.122
2016-09-27,1.129,0.6239,1.129
2016-09-28,1.136,0.62,1.136
2016-09-29,1.142,0.5282,1.142
2016-09-30,1.15,0.7005,1.15
2016-10-10,1.17,1.7391,1.17
2016-10-11,1.174,0.3419,1.174
2016-10-12,1.174,0.0,1.174
2016-10-13,1.171,-0.2555,1.171
2016-10-14,1.169,-0.1708,1.169
2016-10-17,1.172,0.2566,1.172
2016-10-18,1.182,0.8532,1.182
2016-10-19,1.184,0.1692,1.184
2016-10-20,1.181,-0.2534,1.181
2016-10-21,1.174,-0.5927,1.174
2016-10-24,1.181,0.5963,1.181
2016-10-25,1.179,-0.1693,1.179
2016-10-26,1.179,0.0,1.179
2016-10-27,1.171,-0.6785,1.171
2016-10-28,1.168,-0.2562,1.168
2016-10-31,1.164,-0.3425,1.164
2016-11-01,1.178,1.2027,1.178
2016-11-02,1.173,-0.4244,1.173
2016-11-03,1.175,0.1705,1.175
2016-11-04,1.162,-1.1064,1.162
2016-11-07,1.153,-0.7745,1.153
2016-11-08,1.166,1.1275,1.166
2016-11-09,1.159,-0.6003,1.159
2016-11-10,1.166,0.604,1.166
2016-11-11,1.156,-0.8576,1.156
2016-11-14,1.154,-0.173,1.154
2016-11-15,1.16,0.5199,1.16
2016-11-16,1.162,0.1724,1.162
2016-11-17,1.166,0.3442,1.166
2016-11-18,1.16,-0.5146,1.16
2016-11-21,1.161,0.0862,1.161
2016-11-22,1.165,0.3445,1.165
2016-11-23,1.165,0.0,1.165
2016-11-24,1.163,-0.1717,1.163
2016-11-25,1.164,0.086,1.164
2016-11-28,1.164,0.0,1.164
2016-11-29,1.165,0.0859,1.165
