净值日期,单位净值,日增长率,累计净值
2015-04-28,1.0,0.0,1.0
2015-04-30,1.003,0.0,1.003
2015-05-08,0.999,0.0,0.999
2015-05-11,0.999,0.0,0.999
2015-05-12,1.033,3.4034,1.033
2015-05-13,1.035,0.1936,1.035
2015-05-14,1.03,-0.4831,1.03
2015-05-15,1.031,0.0971,1.031
2015-05-18,1.044,1.2609,1.044
2015-05-19,1.046,0.1916,1.046
2015-05-20,1.054,0.7648,1.054
2015-05-21,1.084,2.8463,1.084
2015-05-22,1.091,0.6458,1.091
2015-05-25,1.095,0.3666,1.095
2015-05-26,1.12,2.2831,1.12
2015-05-27,1.122,0.1786,1.122
2015-05-28,1.065,-5.0802,1.065
2015-05-29,1.079,1.3146,1.079
2015-06-01,1.126,4.3559,1.126
2015-06-02,1.161,3.1083,1.161
2015-06-03,1.159,-0.1723,1.159
2015-06-04,1.145,-1.2079,1.145
2015-06-05,1.148,0.262,1.148
2015-06-08,1.118,-2.6132,1.118
2015-06-09,1.113,-0.4472,1.113
2015-06-10,1.138,2.2462,1.138
2015-06-11,1.156,1.5817,1.156
2015-06-12,1.184,2.4221,1.184
2015-06-15,1.148,-3.0405,1.148
2015-06-16,1.098,-4.3554,1.098
2015-06-17,1.121,2.0947,1.121
2015-06-18,1.07,-4.5495,1.07
2015-06-19,0.996,-6.9159,0.996
2015-06-23,1.01,1.4056,1.01
2015-06-24,1.019,0.8911,1.019
2015-06-25,0.978,-4.0236,0.978
2015-06-26,0.895,-8.4867,0.895
2015-06-29,0.829,-7.3743,0.829
2015-06-30,0.875,5.5489,0.875
2015-07-01,0.841,-3.8857,0.841
2015-07-02,0.789,-6.1831,0.789
2015-07-03,0.75,-4.943,0.75
2015-07-06,0.727,-3.0667,0.727
2015-07-07,0.665,-8.5282,0.665
2015-07-08,0.637,-4.2105,0.637
2015-07-09,0.673,5.6515,0.673
2015-07-10,0.714,6.0921,0.714
2015-07-13,0.769,7.7031,0.769
2015-07-14,0.792,2.9909,0.792
2015-07-15,0.747,-5.6818,0.747
2015-07-16,0.757,1.3387,0.757
2015-07-17,0.8,5.6803,0.8
2015-07-20,0.812,1.5,0.812
2015-07-21,0.824,1.4778,0.824
2015-07-22,0.823,-0.1214,0.823
2015-07-23,0.848,3.0377,0.848
2015-07-24,0.838,-1.1792,0.838
2015-07-27,0.775,-7.5179,0.775
2015-07-28,0.753,-2.8387,0.753
2015-07-29,0.779,3.4529,0.779
2015-07-30,0.751,-3.5944,0.751
2015-07-31,0.748,-0.3995,0.748
2015-08-03,0.721,-3.6096,0.721
2015-08-04,0.757,4.9931,0.757
2015-08-05,0.75,-0.9247,0.75
2015-08-06,0.745,-0.6667,0.745
2015-08-07,0.771,3.4899,0.771
2015-08-10,0.808,4.799,0.808
2015-08-11,0.807,-0.1238,0.807
2015-08-12,0.792,-1.8587,0.792
2015-08-13,0.803,1.3889,0.803
2015-08-14,0.808,0.6227,0.808
2015-08-17,0.816,0.9901,0.816
2015-08-18,0.758,-7.1078,0.758
2015-08-19,0.775,2.2427,0.775
2015-08-20,0.755,-2.5806,0.755
2015-08-21,0.714,-5.4305,0.714
2015-08-24,0.653,-8.5434,0.653
2015-08-25,0.604,-7.5038,0.604
2015-08-26,0.587,-2.8146,0.587
2015-08-27,0.61,3.9182,0.61
2015-08-28,0.645,5.7377,0.645
2015-08-31,0.624,-3.2558,0.624
2015-09-01,0.593,-4.9679,0.593
2015-09-02,0.582,-1.855,0.582
2015-09-07,0.586,0.6873,0.586
2015-09-08,0.612,4.4369,0.612
2015-09-09,0.633,3.4314,0.633
2015-09-10,0.622,-1.7378,0.622
2015-09-11,0.626,0.6431,0.626
2015-09-14,0.592,-5.4313,0.592
2015-09-15,0.569,-3.8851,0.569
2015-09-16,0.605,6.3269,0.605
2015-09-17,0.596,-1.4876,0.596
2015-09-18,0.606,1.6779,0.606
2015-09-21,0.63,3.9604,0.63
2015-09-22,0.632,0.3175,0.632
2015-09-23,0.625,-1.1076,0.625
2015-09-24,0.636,1.76,0.636
2015-09-25,0.614,-3.4591,0.614
2015-09-28,0.633,3.0945,0.633
2015-09-29,0.625,-1.2638,0.625
2015-09-30,0.624,-0.16,0.624
2015-10-08,0.648,3.8462,0.648
2015-10-09,0.652,0.6173,0.652
2015-10-12,0.672,3.0675,0.672
2015-10-13,0.68,1.1905,0.68
2015-10-14,0.674,-0.8824,0.674
2015-10-15,0.694,2.9674,0.694
2015-10-16,0.701,1.0086,0.701
2015-10-19,0.703,0.2853,0.703
2015-10-20,0.719,2.276,0.719
2015-10-21,0.687,-4.4506,0.687
2015-10-22,0.723,5.2402,0.723
2015-10-23,0.743,2.7663,0.743
2015-10-26,0.74,-0.4038,0.74
2015-10-27,0.744,0.5405,0.744
2015-10-28,0.722,-2.957,0.722
2015-10-29,0.727,0.6925,0.727
2015-10-30,0.725,-0.2751,0.725
2015-11-02,0.71,-2.069,0.71
2015-11-03,0.704,-0.8451,0.704
2015-11-04,0.736,4.5455,0.736
2015-11-05,0.731,-0.6793,0.731
2015-11-06,0.747,2.1888,0.747
2015-11-09,0.761,1.8742,0.761
2015-11-10,0.764,0.3942,0.764
2015-11-11,0.78,2.0942,0.78
2015-11-12,0.78,0.0,0.78
2015-11-13,0.76,-2.5641,0.76
2015-11-16,0.77,1.3158,0.77
2015-11-17,0.761,-1.1688,0.761
2015-11-18,0.745,-2.1025,0.745
2015-11-19,0.763,2.4161,0.763
2015-11-20,0.767,0.5242,0.767
2015-11-23,0.772,0.6519,0.772
2015-11-24,0.776,0.5181,0.776
2015-11-25,0.796,2.5773,0.796
2015-11-26,0.787,-1.1307,0.787
2015-11-27,0.75,-4.7014,0.75
2015-11-30,0.749,-0.1333,0.749
2015-12-01,0.753,0.534,0.753
2015-12-02,0.751,-0.2656,0.751
2015-12-03,0.769,2.3968,0.769
2015-12-04,0.763,-0.7802,0.763
2015-12-07,0.778,1.9659,0.778
2015-12-08,0.767,-1.4139,0.767
2015-12-09,0.766,-0.1304,0.766
2015-12-10,0.764,-0.2611,0.764
2015-12-11,0.754,-1.3089,0.754
2015-12-14,0.769,1.9894,0.769
2015-12-15,0.814,5.8518,0.814
2015-12-16,0.815,0.1229,0.815
2015-12-17,0.836,2.5767,0.836
2015-12-18,0.831,-0.5981,0.831
2015-12-21,0.836,0.6017,0.836
2015-12-22,0.836,0.0,0.836
2015-12-23,0.826,-1.1962,0.826
2015-12-24,0.817,-1.0896,0.817
2015-12-25,0.819,0.2448,0.819
2015-12-28,0.816,-0.3663,0.816
2015-12-29,0.826,1.2255,0.826
2015-12-30,0.837,1.3317,0.837
2015-12-31,0.829,-0.9558,0.829
2016-01-04,0.761,-8.2027,0.761
2016-01-05,0.74,-2.7595,0.74
2016-01-06,0.753,1.7568,0.753
2016-01-07,0.688,-8.6321,0.688
2016-01-08,0.693,0.7267,0.693
2016-01-11,0.646,-6.7821,0.646
2016-01-12,0.65,0.6192,0.65
2016-01-13,0.627,-3.5385,0.627
2016-01-14,0.649,3.5088,0.649
2016-01-15,0.631,-2.7735,0.631
2016-01-18,0.639,1.2678,0.639
2016-01-19,0.666,4.2254,0.666
2016-01-20,0.658,-1.2012,0.658
2016-01-21,0.63,-4.2553,0.63
2016-01-22,0.633,0.4762,0.633
2016-01-25,0.643,1.5798,0.643
2016-01-26,0.599,-6.8429,0.599
2016-01-27,0.59,-1.5025,0.59
2016-01-28,0.567,-3.8983,0.567
2016-01-29,0.587,3.5273,0.587
2016-02-01,0.579,-1.3629,0.579
2016-02-02,0.601,3.7997,0.601
2016-02-03,0.603,0.3328,0.603
2016-02-04,0.613,1.6584,0.613
2016-02-05,0.612,-0.1631,0.612
2016-02-15,0.614,0.3268,0.614
2016-02-16,0.644,4.886,0.644
2016-02-17,0.649,0.7764,0.649
2016-02-18,0.645,-0.6163,0.645
2016-02-19,0.646,0.155,0.646
2016-02-22,0.655,1.3932,0.655
2016-02-23,0.648,-1.0687,0.648
2016-02-24,0.654,0.9259,0.654
2016-02-25,0.605,-7.4924,0.605
2016-02-26,0.601,-0.6612,0.601
2016-02-29,0.565,-5.99,0.565
2016-03-01,0.58,2.6549,0.58
2016-03-02,0.605,4.3103,0.605
2016-03-03,0.604,-0.1653,0.604
2016-03-04,0.585,-3.1457,0.585
2016-03-07,0.597,2.0513,0.597
2016-03-08,0.601,0.67,0.601
2016-03-09,0.592,-1.4975,0.592
2016-03-10,0.584,-1.3514,0.584
2016-03-11,0.583,-0.1712,0.583
2016-03-14,0.6,2.916,0.6
2016-03-15,0.595,-0.8333,0.595
2016-03-16,0.593,-0.3361,0.593
2016-03-17,0.612,3.204,0.612
2016-03-18,0.633,3.4314,0.633
2016-03-21,0.647,2.2117,0.647
2016-03-22,0.646,-0.1546,0.646
2016-03-23,0.649,0.4644,0.649
2016-03-24,0.639,-1.5408,0.639
2016-03-25,0.642,0.4695,0.642
2016-03-28,0.64,-0.3115,0.64
2016-03-29,0.626,-2.1875,0.626
2016-03-30,0.652,4.1534,0.652
2016-03-31,0.651,-0.1534,0.651
2016-04-01,0.649,-0.3072,0.649
2016-04-05,0.665,2.4653,0.665
2016-04-06,0.665,0.0,0.665
2016-04-07,0.659,-0.9023,0.659
2016-04-08,0.651,-1.214,0.651
2016-04-11,0.67,2.9186,0.67
2016-04-12,0.663,-1.0448,0.663
2016-04-13,0.668,0.7541,0.668
2016-04-14,0.673,0.7485,0.673
2016-04-15,0.671,-0.2972,0.671
2016-04-18,0.661,-1.4903,0.661
2016-04-19,0.664,0.4539,0.664
2016-04-20,0.633,-4.6687,0.633
2016-04-21,0.626,-1.1058,0.626
2016-04-22,0.637,1.7572,0.637
2016-04-25,0.636,-0.157,0.636
2016-04-26,0.642,0.9434,0.642
2016-04-27,0.643,0.1558,0.643
2016-04-28,0.641,-0.311,0.641
2016-04-29,0.639,-0.312,0.639
2016-05-03,0.657,2.8169,0.657
2016-05-04,0.657,0.0,0.657
2016-05-05,0.658,0.1522,0.658
2016-05-06,0.634,-3.6474,0.634
2016-05-09,0.613,-3.3123,0.613
2016-05-10,0.613,0.0,0.613
2016-05-11,0.612,-0.1631,0.612
2016-05-12,0.608,-0.6536,0.608
2016-05-13,0.607,-0.1645,0.607
2016-05-16,0.616,1.4827,0.616
2016-05-17,0.615,-0.1623,0.615
2016-05-18,0.599,-2.6016,0.599
2016-05-19,0.6,0.1669,0.6
2016-05-20,0.604,0.6667,0.604
2016-05-23,0.61,0.9934,0.61
2016-05-24,0.606,-0.6557,0.606
2016-05-25,0.603,-0.495,0.603
2016-05-26,0.607,0.6633,0.607
2016-05-27,0.604,-0.4942,0.604
2016-05-30,0.601,-0.4967,0.601
2016-05-31,0.622,3.4942,0.622
2016-06-01,0.623,0.1608,0.623
2016-06-02,0.625,0.321,0.625
2016-06-03,0.636,1.76,0.636
2016-06-06,0.634,-0.3145,0.634
2016-06-07,0.632,-0.3155,0.632
2016-06-08,0.631,-0.1582,0.631
2016-06-13,0.605,-4.1204,0.605
2016-06-14,0.607,0.3306,0.607
2016-06-15,0.619,1.9769,0.619
2016-06-16,0.613,-0.9693,0.613
2016-06-17,0.619,0.9788,0.619
2016-06-20,0.623,0.6462,0.623
2016-06-21,0.62,-0.4815,0.62
2016-06-22,0.626,0.9677,0.626
2016-06-23,0.624,-0.3195,0.624
2016-06-24,0.621,-0.4808,0.621
2016-06-27,0.633,1.9324,0.633
2016-06-28,0.647,2.2117,0.647
2016-06-29,0.645,-0.3091,0.645
2016-06-30,0.646,0.155,0.646
2016-07-01,0.643,-0.4644,0.643
2016-07-04,0.65,1.0886,0.65
2016-07-05,0.65,0.0,0.65
2016-07-06,0.656,0.9231,0.656
2016-07-07,0.662,0.9146,0.662
2016-07-08,0.659,-0.4532,0.659
2016-07-11,0.657,-0.3035,0.657
2016-07-12,0.669,1.8265,0.669
2016-07-13,0.669,0.0,0.669
2016-07-14,0.667,-0.299,0.667
2016-07-15,0.669,0.2999,0.669
2016-07-18,0.665,-0.5979,0.665
2016-07-19,0.664,-0.1504,0.664
2016-07-20,0.665,0.1506,0.665
2016-07-21,0.664,-0.1504,0.664
2016-07-22,0.656,-1.2048,0.656
2016-07-25,0.657,0.1524,0.657
2016-07-26,0.67,1.9787,0.67
2016-07-27,0.651,-2.8358,0.651
2016-07-28,0.65,-0.1536,0.65
2016-07-29,0.651,0.1538,0.651
2016-08-01,0.643,-1.2289,0.643
2016-08-02,0.644,0.1555,0.644
2016-08-03,0.646,0.3106,0.646
2016-08-04,0.645,-0.1548,0.645
2016-08-05,0.642,-0.4651,0.642
2016-08-08,0.646,0.6231,0.646
2016-08-09,0.651,0.774,0.651
2016-08-10,0.65,-0.1536,0.65
2016-08-11,0.646,-0.6154,0.646
2016-08-12,0.652,0.9288,0.652
2016-08-15,0.664,1.8405,0.664
2016-08-16,0.67,0.9036,0.67
2016-08-17,0.674,0.597,0.674
2016-08-18,0.673,-0.1484,0.673
2016-08-19,0.674,0.1486,0.674
2016-08-22,0.669,-0.7418,0.669
2016-08-23,0.674,0.7474,0.674
2016-08-24,0.673,-0.1484,0.673
2016-08-25,0.668,-0.7429,0.668
2016-08-26,0.672,0.5988,0.672
2016-08-29,0.673,0.1488,0.673
2016-08-30,0.671,-0.2972,0.671
2016-08-31,0.672,0.149,0.672
2016-09-01,0.666,-0.8929,0.666
2016-09-02,0.664,-0.3003,0.664
2016-09-05,0.665,0.1506,0.665
2016-09-06,0.672,1.0526,0.672
2016-09-07,0.676,0.5952,0.676
2016-09-08,0.677,0.1479,0.677
2016-09-09,0.672,-0.7386,0.672
2016-09-12,0.654,-2.6786,0.654
2016-09-13,0.656,0.3058,0.656
2016-09-14,0.654,-0.3049,0.654
2016-09-19,0.662,1.2232,0.662
2016-09-20,0.66,-0.3021,0.66
2016-09-21,0.664,0.6061,0.664
2016-09-22,0.666,0.3012,0.666
2016-09-23,0.665,-0.1502,0.665
2016-09-26,0.652,-1.9549,0.652
2016-09-27,0.658,0.9202,0.658
2016-09-28,0.658,0.0,0.658
2016-09-29,0.66,0.304,0.66
2016-09-30,0.663,0.4545,0.663
2016-10-10,0.673,1.5083,0.673
2016-10-11,0.674,0.1486,0.674
2016-10-12,0.676,0.2967,0.676
2016-10-13,0.674,-0.2959,0.674
2016-10-14,0.673,-0.1484,0.673
2016-10-17,0.67,-0.4458,0.67
2016-10-18,0.677,1.0448,0.677
2016-10-19,0.677,0.0,0.677
2016-10-20,0.676,-0.1477,0.676
2016-10-21,0.672,-0.5917,0.672
2016-10-24,0.678,0.8929,0.678
2016-10-25,0.68,0.295,0.68
2016-10-26,0.681,0.1471,0.681
2016-10-27,0.679,-0.2937,0.679
2016-10-28,0.672,-1.0309,0.672
2016-10-31,0.669,-0.4464,0.669
2016-11-01,0.674,0.7474,0.674
2016-11-02,0.669,-0.7418,0.669
2016-11-03,0.671,0.299,0.671
2016-11-04,0.672,0.149,0.672
2016-11-07,0.668,-0.5952,0.668
2016-11-08,0.674,0.8982,0.674
2016-11-09,0.671,-0.4451,0.671
2016-11-10,0.681,1.4903,0.681
2016-11-11,0.686,0.7342,0.686
2016-11-14,0.691,0.7289,0.691
2016-11-15,0.693,0.2894,0.693
2016-11-16,0.696,0.4329,0.696
2016-11-17,0.696,0.0,0.696
2016-11-18,0.692,-0.5747,0.692
2016-11-21,0.691,-0.1445,0.691
2016-11-22,0.695,0.5789,0.695
2016-11-23,0.693,-0.2878,0.693
2016-11-24,0.69,-0.4329,0.69
2016-11-25,0.692,0.2899,0.692
2016-11-28,0.693,0.1445,0.693
2016-11-29,0.691,-0.2886,0.691
2016-11-30,0.691,0.0,0.691
2016-12-01,0.696,0.7236,0.696
2016-12-02,0.688,-1.1494,0.688
2016-12-05,0.68,-1.1628,0.68
2016-12-06,0.679,-0.1471,0.679
2016-12-07,0.684,0.7364,0.684
2016-12-08,0.682,-0.2924,0.682
2016-12-09,0.682,0.0,0.682
2016-12-12,0.654,-4.1056,0.654
2016-12-13,0.656,0.3058,0.656
2016-12-14,0.655,-0.1524,0.655
2016-12-15,0.656,0.1527,0.656
2016-12-16,0.659,0.4573,0.659
2016-12-19,0.657,-0.3035,0.657
2016-12-20,0.658,0.1522,0.658
2016-12-21,0.661,0.4559,0.661
2016-12-22,0.66,-0.1513,0.66
2016-12-23,0.658,-0.303,0.658
2016-12-26,0.659,0.152,0.659
