净值日期,单位净值,累计净值
2026-06-29,1.0352,1.0352
2026-07-01,1.0352,1.0352
2026-07-02,1.0353,1.0353
2026-07-03,1.0353,1.0353
2026-07-06,1.0354,1.0354
2026-07-07,1.0354,1.0354
2026-07-08,1.0355,1.0355
2026-07-09,1.0355,1.0355
2026-07-10,1.0356,1.0356
2026-07-13,1.0356,1.0356
2026-07-14,1.0356,1.0356
2026-07-15,1.0357,1.0357
2026-07-16,1.0357,1.0357
2026-07-17,1.0357,1.0357
